Admin Status,VPN Access ID,Alive,Site Id,Nickname,Site Name,Region,Product,Bandwidth
1,1000,Down,80234279,5076,NG KIWI BUSKERUD AS - 7080001191320 Kiwi 526 Noresund KRØDERFJORDVEIEN 1677 3536 NORESUND 3536 NORESUND,KRØDSHERAD,NC MANAGED VPN ACCESS,100000
2,1001,Up,80226657,2003,BUTIKKDRIFT NORD AS - 7080001271886 JOKER LILAND LILANDSVEIEN 210 8534 LILAND 8534 LILAND,EVENES,NC MANAGED VPN ACCESS,100000
3,1002,up,80159102,nan,NORGESGRUPPEN DATA AS - 7080000868780 Vestkanten HAAKONSVERNVEIEN 1 5173 LODDEFJORD 5173 LODDEFJORD,BERGEN,NC MANAGED VPN ACCESS,10000
4,1003,up,80159101,nan,NORGESGRUPPEN DATA AS - 7080004063525 Teie NØTTERØVEIEN 1A 3127 TØNSBERG 3127 TØNSBERG,TØNSBERG,NC MANAGED VPN ACCESS,10000
5,1004,up,80159099,nan,NORGESGRUPPEN DATA AS - 7080004049499 Jessheim-E6 LOKEVEGEN 3 2067 JESSHEIM 2067 JESSHEIM,ULLENSAKER,NC MANAGED VPN ACCESS,10000
6,1005,Up,80160794,Bakers Hasle (Sec),BAKERS AS Secondary - 7080000480043 HASLEVANGEN 40 0579 OSLO 0579 OSLO,OSLO,NC MANAGED VPN ACCESS,97000
7,1006,up,80147214,nan,TATA CONSULTANCY SERVICES LIMITED - 7080000 SANDAKERVEIEN 116 0484 OSLO 0484 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
8,1007,Up,80226655,4575,NG KIWI ØST AS - 7080001099480 Kiwi 538 Kurland BRYGGERIVEIEN 9 1727 SARPSBORG 1727 SARPSBORG,SARPSBORG,NC MANAGED VPN ACCESS,100000
9,1008,Down but redundancy is up,80135710,Bakers Bryne,BAKERS AS - BRYNE - 7080001032166 BRYNE BEDRIFTSVEGEN 1 4344 BRYNE 4344 BRYNE,TIME,NC MANAGED VPN ACCESS,97000
10,1009,Up,80226430,1253,OMBO LANDHANDEL AS - 7080001393250 Joker Ombo Eidsund 4187 OMBO 4187 OMBO,STAVANGER,NC MANAGED VPN ACCESS,100000
11,1010,Up,80226056,2055,JARLSBERGS MENY DRIFT AS - 7080000590315 MENY Jarlsberg TRAVVEIEN 1 3170 SEM 3170 SEM,TØNSBERG,NC MANAGED VPN ACCESS,100000
12,1011,up,80159097,test,NORGESGRUPPEN DATA AS - 7080004137950 Alna STRØMSVEIEN 241B 0668 OSLO 0668 OSLO,OSLO,NC MANAGED VPN ACCESS,10000
13,1012,Up,80160746,Bakers Hasle (Pri),BAKERS AS Primary - 7080000480043 HASLEVANGEN 40 0579 OSLO 0579 OSLO,OSLO,NC MANAGED VPN ACCESS,97000
14,1013,Up,80232581,nan,TIGER AS - 7080001165260 TI16805 LØKKEMYRA LØKKEMYRVEIEN 4 6517 KRISTIANSUND N 6517 KRISTIANSUND N,KRISTIANSUND,NC MANAGED VPN ACCESS,100000
15,1014,Up,80233541,1871,SJØBUA MAT AS - 7080000459810 Joker Utvik FJORDVEGEN 4093 6797 UTVIK 6797 UTVIK,STRYN,NC MANAGED VPN ACCESS,100000
16,1015,up,80159096,nan,NORGESGRUPPEN DATA AS - 7080004137585 Ramstadsletta DRAMMENSVEIEN 503 1363 HØVIK 1363 HØVIK,BÆRUM,NC MANAGED VPN ACCESS,10000
17,1016,Up,80150068,Bakers Lillesand (Pri),BAKERS AS - 7080001032197 LILLESAND Primary GAUPEMYRHEIA 8 4790 LILLESAND 4790 LILLESAND,LILLESAND,NC MANAGED VPN ACCESS,100000
18,1017,Up,80230803,4423,ÅSE DAGLIGVARER AS - 7080000071357 SPAR Åsetorget ØVRE GEILEGREND 1 6017 ÅLESUND 6017 ÅLESUND,ÅLESUND,NC MANAGED VPN ACCESS,100000
19,1018,up,80174997,7080001091996 SPAR Møre,KJØPMANNSHUSET NORGE AS REGION MØRE - SPAR Møre HOLSSLETTA 2 6018 ÅLESUND 6018 ÅLESUND,ÅLESUND,NC MANAGED VPN ACCESS,30000/8000
20,1019,Up,80231867,nan,NORGESGRUPPEN DATA AS - 7080004052901 TI16868 BØ BØGATA 79 3800 BØ I TELEMARK 3800 BØ I TELEMARK,MIDT-TELEMARK,NC MANAGED VPN ACCESS,100000
21,1020,Up,80232212,nan,ESSO REVHEIM - 7080004159846 TI16852 REVHEIMSVEIEN REVHEIMSVEIEN 265 4047 HAFRSFJORD 4047 HAFRSFJORD,STAVANGER,NC MANAGED VPN ACCESS,100000
22,1021,up,80159098,nan,NORGESGRUPPEN DATA AS - 7080004137547 Grålum BJØRNSTADVEIEN 10 1712 GRÅLUM 1712 GRÅLUM,SARPSBORG,NC MANAGED VPN ACCESS,10000
23,1022,up,80148389,nan,ASKO MIDT-NORGE AS - 7080000082780 KLINKERVEIEN 10 8006 BODØ 8006 BODØ,BODØ,NC MANAGED VPN ACCESS,100000
24,1023,Down,80234809,1180,MATHUSET GRIMO AS - 7080000036844 Nærbutikken Grimo FJORDAVEGEN 3583 5777 GRIMO 5777 GRIMO,ULLENSVANG,NC MANAGED VPN ACCESS,100000
